file_id,filename,chapbook_id,place_printed,place_printed_nation,place_published,place_sold,publisher,printer,bookseller,date,volume,item,imprint,nls_digital_chapbook_page_id,assigned_date,assigned_printer,assigned_publisher,assigned_place_printed,assigned_place_published,assigned_place_sold
2144,104184899/image/108518949.3.jpg,104184899,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,1815,L.C.2823,L.C.2823(33),Printed by T. Johnston,108518947,,,,,,
2145,104186955/image/108559725.3.jpg,104186955,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2885,L.C.2885(10),Printed for the booksellers,108559723,,,,,,
2146,104186955/image/108560001.3.jpg,104186955,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2885,L.C.2885(10),Printed for the booksellers,108559999,,,,,,
2147,104184888/image/108520005.3.jpg,104184888,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,[1810-1825?],L.C.2823,L.C.2823(23),"T. Johnston, Printer",108520003,,,,,,
2148,104185440/image/108748688.3.jpg,104185440,Glasgow,Scotland,,,,J. & M. Robertson,,1802,L.C.2838,L.C.2838(27),"Printed by J. & M. Robertson, Saltmarket",108748686,,,,,,
2149,104185106/image/108793916.3.jpg,104185106,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,[1810-1825?],L.C.2828.B,L.C.2828.B(15),Printed and sold by T. Johnston,108793914,,,,,,
2150,104187149/image/108530733.3.jpg,104187149,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2893,L.C.2893(2),Printed for the booksellers,108530731,,,,,,
2151,104184808/image/108835688.3.jpg,104184808,Edinburgh,Scotland,,,,,,[1815-1825?],L.C.2818,L.C.2818(7),Printed for the booksellers in town and country,108835686,,,,,,
2152,104185768/image/108643413.3.jpg,104185768,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2849,L.C.2849(17),Printed for the booksellers,108643411,,,,,,
2153,104185768/image/108643689.3.jpg,104185768,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2849,L.C.2849(17),Printed for the booksellers,108643687,,,,,,
2154,104186898/image/108876296.3.jpg,104186898,Stirling,Scotland,,,,J. Fraser & Co.,,[1816-1820?],L.C.2877,L.C.2877(25),"Sold wholesale by J. Fraser & Co. printers, Stirling",108876294,,,,,,
2155,104184153/image/107127598.3.jpg,104184153,Aberdeen,Scotland,,,,J. Chalmers and Co.,,[1771-1810],L.C.2787,L.C.2787(7),Printed by J. Chalmers & Co. Castlestreet Aberdeen.,107127596,,,,,,
2156,104185109/image/108792776.3.jpg,104185109,Falkirk,Scotland,,,,,,[1850-1860?],L.C.2828.B,L.C.2828.B(18),Printed for the booksellers,108792774,,,,,,
2157,104185237/image/108768752.3.jpg,104185237,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.D,L.C.2852.D(16),Printed for the booksellers,108768750,,,,,,
2158,104185081/image/108653805.3.jpg,104185081,Falkirk,Scotland,,,,,,[1825-1826?],L.C.2828.A,L.C.2828.A(13),Printed by R. Taylor,108653803,,,,,,
